date,sfu_245MHz,sfu_410MHz,sfu_610MHz,sfu_1415MHz,sfu_2695MHz,sfu_4995MHz,sfu_8800MHz,sfu_15400MHz,alpha,r2,resid_2695,resid_4995,resid_8800,resid_15400,max_abs_resid,which_band,B_G_s2,B_G_s3
2018-01-23,10.0,24.0,34.0,47.0,68.0,108.0,234.0,510.0,1.1727206678113853,0.9816480334854898,1.1168458235933654,0.860292676190201,0.9594249030630088,1.0847997160795748,0.139707323809799,4995.0,892.0,594.6
2018-03-22,21.0,34.0,33.0,44.0,61.0,98.0,216.0,467.0,1.1864331762744855,0.9830165580650349,1.1134932871421717,0.8602949412911524,0.9684454234214276,1.0779283060548537,0.13970505870884764,4995.0,892.0,594.6
2018-12-01,13.0,29.0,34.0,45.0,70.0,113.0,209.0,515.0,1.1351668308929002,0.9729894534119418,1.1201649488868493,0.8975612506770927,0.8728524941924344,1.1394966918068028,0.1394966918068028,15400.0,2750.0,1833.3
2018-04-15,13.0,25.0,34.0,46.0,68.0,108.0,237.0,497.0,1.1618040085727184,0.9832961429536464,1.1097208340534377,0.860581788491541,0.9780798745595146,1.0705816279624363,0.139418211508459,4995.0,892.0,594.6
2018-12-26,14.0,30.0,34.0,46.0,70.0,115.0,206.0,508.0,1.1228181829465,0.9737560297705806,1.1109181375214596,0.9128359185203948,0.8657811683435781,1.1389825932177935,0.1389825932177935,15400.0,2750.0,1833.3
2018-11-23,11.0,28.0,33.0,45.0,70.0,116.0,210.0,522.0,1.1387074099698224,0.974484559274537,1.1112586079799975,0.9120696556563093,0.8664179411040812,1.1387526957099714,0.1387526957099714,15400.0,2750.0,1833.3
2018-02-13,14.0,25.0,36.0,51.0,75.0,111.0,239.0,333.0,0.9029613180113744,0.9742989629651572,1.0402506945206098,0.8819157827182507,1.1387312720855265,0.9572240977859785,0.1387312720855265,8800.0,1571.4,1047.6
2018-03-24,12.0,29.0,33.0,44.0,62.0,100.0,222.0,472.0,1.1849124785400416,0.9840389833179163,1.109364824915071,0.8612985951028362,0.9774191217882657,1.0707572869956485,0.13870140489716376,4995.0,892.0,594.6
2018-02-16,14.0,26.0,37.0,48.0,69.0,109.0,231.0,519.0,1.170188337221537,0.9795108092220125,1.1227294616939636,0.8615277890795696,0.9411313734606604,1.0985133499011834,0.13847221092043038,4995.0,892.0,594.6
2018-01-31,13.0,25.0,34.0,46.0,68.0,108.0,232.0,511.0,1.1722000145502773,0.9811747458819312,1.1181812566435783,0.8615980994752331,0.9529490341789517,1.0892144274763886,0.13840190052476686,4995.0,892.0,594.6
2018-01-30,12.0,25.0,34.0,45.0,66.0,107.0,237.0,514.0,1.1961898861609481,0.9837122672190047,1.1119291191847172,0.8617194587547057,0.9694623322914517,1.0765298012295934,0.13828054124529432,4995.0,892.0,594.6
2018-11-26,13.0,29.0,34.0,44.0,70.0,113.0,211.0,519.0,1.1408002932510974,0.9734853796975992,1.1209214647240486,0.8950507583564324,0.8759414181661918,1.137894733586694,0.13789473358669402,15400.0,2750.0,1833.3
2018-03-28,12.0,30.0,34.0,45.0,65.0,106.0,236.0,510.0,1.2010074176714196,0.9843641605475961,1.1099012712686742,0.8626503946165852,0.9728739528032194,1.073554878617967,0.13734960538341479,4995.0,892.0,594.6
2018-12-21,4.0,16.0,28.0,47.0,71.0,115.0,206.0,501.0,1.108260992072993,0.97335136081402,1.1122653459928016,0.9092006743252339,0.8694717260032486,1.1373035125774196,0.13730351257741957,15400.0,2750.0,1833.3
2018-05-03,10.0,28.0,34.0,44.0,64.0,106.0,242.0,514.0,1.2176130217319332,0.985994563323329,1.1042023600165318,0.8627453253467704,0.9883792676158093,1.0620503029612371,0.1372546746532296,4995.0,892.0,594.6
2018-10-18,8.0,25.0,35.0,46.0,71.0,113.0,213.0,519.0,1.1349921396170064,0.9728560950648384,1.1244409219090405,0.8883932764735133,0.8805586901157965,1.1368411544022787,0.13684115440227873,15400.0,2750.0,1833.3
2018-12-06,13.0,30.0,35.0,46.0,70.0,114.0,211.0,519.0,1.139390712640095,0.9742470840571795,1.1170594732260033,0.900643497515874,0.8743807535728508,1.1367636992550354,0.1367636992550354,15400.0,2750.0,1833.3
2018-11-29,12.0,26.0,28.0,45.0,68.0,111.0,207.0,511.0,1.1476266978237726,0.9744666117691028,1.1180547546663357,0.898959025705613,0.8752491834860512,1.1367509235153097,0.1367509235153097,15400.0,2750.0,1833.3
2018-10-17,9.0,27.0,36.0,46.0,71.0,116.0,210.0,514.0,1.123349806390848,0.9742379961601612,1.1122538181699848,0.9085983542584384,0.8706598842957459,1.1365161568864333,0.13651615688643326,15400.0,2750.0,1833.3
2018-11-08,12.0,29.0,34.0,46.0,69.0,116.0,209.0,519.0,1.1425081251956517,0.9759862204338425,1.1059478767890285,0.918709007088739,0.8667016434638319,1.1355800298186387,0.1355800298186387,15400.0,2750.0,1833.3
2018-11-06,12.0,31.0,35.0,44.0,69.0,114.0,211.0,522.0,1.1499173620406444,0.9754202966133332,1.1138162876472577,0.9051451705652243,0.8735281612861232,1.1355108450888196,0.1355108450888196,15400.0,2750.0,1833.3
2018-04-12,12.0,29.0,33.0,44.0,63.0,101.0,217.0,477.0,1.176226494238042,0.9822918978572553,1.1147905380838874,0.8649137010207876,0.9546002593772418,1.086456646877614,0.13508629897921243,4995.0,892.0,594.6
2018-01-01,13.0,25.0,34.0,46.0,67.0,107.0,225.0,518.0,1.183015229487504,0.9792424708362414,1.1238453533947552,0.8649579302190655,0.9307530458623688,1.1052588340649674,0.13504206978093447,4995.0,892.0,594.6
2018-04-25,8.0,25.0,36.0,48.0,69.0,111.0,243.0,512.0,1.1693197042522279,0.984434500304175,1.1064775280291694,0.8650994254450998,0.9766938095485768,1.069628443792349,0.13490057455490023,4995.0,892.0,594.6
2018-10-24,12.0,31.0,35.0,46.0,70.0,114.0,210.0,513.0,1.1326174581827846,0.9746914314197451,1.1149330958658965,0.9026938917730597,0.8755700100839636,1.13480126483382,0.13480126483381993,15400.0,2750.0,1833.3
2018-10-31,12.0,29.0,31.0,44.0,68.0,112.0,207.0,508.0,1.143187998337399,0.9757192447904247,1.1128098770484145,0.905278712363622,0.8757310873917923,1.1335115593371252,0.13351155933712522,15400.0,2750.0,1833.3
2018-11-25,12.0,29.0,34.0,45.0,69.0,113.0,211.0,517.0,1.1464168973762785,0.9755431539935056,1.11549717002374,0.9005022083119043,0.8784778010806775,1.1332244954469692,0.13322449544696924,15400.0,2750.0,1833.3
2018-02-20,13.0,26.0,35.0,46.0,65.0,106.0,228.0,515.0,1.1998778839664195,0.9825714292458191,1.1156676111629562,0.867736749286404,0.9460419418543815,1.0918595909421878,0.13226325071359601,4995.0,892.0,594.6
